,Name,Region,File,Emmision Line,Channels,X-pos,Y-pos,X-offset,Y-offset,Literature PA,Eddy PA,Literature Mass [M],Eddy Mass [M], DECO Dict vsys [m/s],Eddy vlsr [m/s],"Eddy rmin, rmax [""]",Literature Distance [Mpc],Literature Inc,Eddy Inc,"Eddy params (nwalkers, nburn, nsteps)",Velocity Mask,Notes,DECO Dict vsys [km/s],Background Velocity Removal
16,J162755.6-242618,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162755.6-242618_CO_230.538GHz.image.fits,CO,"(0, 200, 100, 200)",246.981533,-24.438517,-0.23,-0.05,--,351.32,0.368,--,,3.01,"(0, 0.6)",131.65,--,19.92,"(10, 800, 500)",,"MCMC FAILS, cloud hard to resolve",3.2,
17,J162713.7-241817,ROph,/Users/calebpainter/Downloads/DECO/fits_files/ROph/J162713.7-241817_CO_230.538GHz.image.fits,CO,"(0, 70, 140, 200)",246.80716,-24.304864,0.42,0.12,--,324.37,0.57,--,,1.27,"(0, 0.6)",137.2,--,76.92,"(10, 800, 500)",,"MCMC FAILS, cloud hard to resolve",3.4,
18,J11095407-7629253,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11095407-7629253_CO_230.538GHz.image.fits,CO,"(0, 80, 120, 150)",167.474685,-76.490436,-0.0,-0.2,--,320.48,0.544,--,,4.79,"(0.2, 1)",191.0,--,48.28,"(10, 800, 500)",,MCMC GOOD,4.7,
19,J10590108-7722407,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J10590108-7722407_CO_230.538GHz.image.fits,CO,"(0, 90, 120, 200)",164.753828,-77.378032,-0.01,-0.26,-16.22,118.98,0.7,1.01,,5.16,"(None, None)",183.12,31.4,--,"(10, 800, 500)",,MCMC GOOD,4.6,
20,J11100369-7633291,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11100369-7633291_CO_230.538GHz.image.fits,CO,"(0, 200, 0, 200)",167.514785,-76.558125,-0.0,-0.04,131.01,206.83,0.646,0.32,,4.88,"(None, None)",195.75,64.77,--,"(10, 800, 500)",,MCMC GOOD,5.0,
21,J11100704-7629376,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11100704-7629376_CO_230.538GHz.image.fits,CO,"(0, 200, 0, 200)",167.528717,-76.493805,0.0,0.03,--,50.6,0.63,--,,4.24,"(None, None)",191.0,--,15.73,"(10, 800, 500)",,"MCMC FAILS, disk not visible",4.4,
22,J11085367-7521359,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11085367-7521359_CO_230.538GHz.image.fits,CO,"(0, 200, 0, 200)",167.223106,-75.359996,0.02,-0.05,131.42,59.55,0.497,0.74,,4.19,"(None, None)",190.51,37.83,--,"(10, 800, 500)",,MCMC GOOD,4.2,
23,J11095340-7634255,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11095340-7634255_CO_230.538GHz.image.fits,CO,"(0, 40, 140, 200)",167.471792,-76.57375,0.02,-0.04,134.18,32.45,0.65,2.24,,5.54,"(0.2, 1)",191.0,51.26,--,"(10, 800, 500)",,MCMC GOOD,5.2,
24,J11075792-7738449,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11075792-7738449_CO_230.538GHz.image.fits,CO,"(0, 50, 150, 200)",166.990665,-77.645823,0.02,-0.09,--,197.79,0.82,--,,3.81,"(0.4, 1.5)",191.0,--,54.55,"(10, 800, 500)",,MCMC GOOD,3.7,
25,J11173700-7704381,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11173700-7704381_CO_230.538GHz.image.fits,CO,"(0, 200, 150, 200)",169.403531,-77.077268,-0.02,-0.02,130.76,221.56,0.52,0.57,,3.76,"(0.2, 1)",188.88,43.77,--,"(10, 800, 500)",,MCMC GOOD,3.6,
26,J11080148-7742288,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11080148-7742288_CO_230.538GHz.image.fits,CO,"(0, 120, 150, 200)",167.005759,-77.707936,-0.02,0.28,--,78.65,0.705,--,,2.3,"(0.1, 0.8)",191.0,--,-30.21,"(10, 800, 500)",,MCMC GOOD,2.0,
27,J11092379-7623207,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11092379-7623207_CO_230.538GHz.image.fits,CO,"(50, 80, 100, 150)",167.348521,-76.389129,-0.01,-0.1,55.18,359.89,0.496,0.21,,6.01,"(0.1, 1)",191.12,15.63,--,"(10, 800, 500)",,"MCMC FAILS, hard to get red/blue parts of cloud",5.3,
28,J11105333-7634319,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J11105333-7634319_CO_230.538GHz.image.fits,CO,"(0, 50, 100, 200)",167.72162,-76.575578,-0.03,-0.07,24.56,165.72,0.291,0.11,,4.51,"(0.1, 1)",193.23,46.76,--,"(10, 800, 500)",,MCMC GOOD,3.5,
29,J10555973-7724399,ChamI,/Users/calebpainter/Downloads/DECO/fits_files/ChamI/J10555973-7724399_CO_230.538GHz.image.fits,CO,"(0, 100, 130, 200)",163.998655,-77.411142,-0.16,-0.23,88.6,24.5,0.79,1.78,,5.26,"(0.1, 1)",183.48,43.74,--,"(10, 800, 500)",,MCMC GOOD,3.5,
30,DS_Tau,Taurus,/Users/calebpainter/Downloads/DECO/fits_files/Taurus/DS_Tau_HCN_hf1_265.885GHz.image.fits,HCN,"(0, 140, 0, 140)",71.952524,29.419621,0.09,-0.26,63.0,339.76,0.497,0.78,,4.52,"(0.1, 1)",158.35,70.0,--,"(10, 800, 500)","[0.5, 1, 20]","MCMC GOOD, disk resolution mediocre",5.7,
31,DG_Tau,Taurus,/Users/calebpainter/Downloads/DECO/fits_files/Taurus/DG_Tau_HCN_hf1_265.885GHz.image.fits,HCN,"(20, 70, 20, 70)",66.769591,26.10433,-0.08,-0.25,135.4,300.61,0.71,0.58,,5.01,"(0.1, 2)",141.0,37.0,--,"(10, 800, 500)",,"MCMC GOOD, had to reforce center",6.24,
